product_id,lead_time_days,safety_stock
8141945,6,11
8141944,7,25
8035107,3,5
8032487,5,24
8007980,6,20
8036932,2,13
8029402,2,39
8029398,2,37
8029399,3,36
8038375,5,27
8029400,4,34
8113612,4,5
8029401,5,37
8007981,7,30
8007979,3,13
8133991,4,11
8142672,4,19
8125921,5,13
8142673,2,18
8137560,3,18
8137564,6,40
8126065,6,30
8126070,6,15
8125919,7,7
8132858,2,6
8125920,6,22
8137557,4,32
8137561,6,11
8137558,6,7
8029417,2,37
8137563,5,38
8125923,3,19
8125922,7,32
8137565,7,7
8137566,4,35
8137568,6,33
8137567,2,27
8037815,6,8
8039648,7,7
8037318,5,23
8037314,2,11
8037319,4,6
8037315,6,5
8037320,3,24
8037316,3,26
8140930,3,38
8140939,2,25
8140940,6,36
8137584,5,24
8137588,2,23
8137586,6,12
8141941,5,5
8141943,4,38
8141940,2,14
8141942,3,15
8109763,4,9
8037322,7,24
8037323,6,5
8029407,4,21
8029403,5,8
8041520,3,10
8041519,7,10
8007985,4,36
8008157,4,36
8029404,7,19
8023704,5,13
8021646,2,25
8021707,4,38
8034204,3,23
8034205,3,17
8034206,5,27
8120824,7,14
8120843,3,28
8017146,5,17
8003112,5,18
8115650,6,28
8137997,5,18
8117125,2,40
8117126,2,32
8116809,6,33
8127300,6,12
8116497,5,35
8135826,5,15
8135813,5,9
8135814,4,40
8141159,3,26
8131413,7,31
8131420,4,36
8131408,5,19
8143768,3,11
8143770,2,5
8143769,6,36
8131415,4,39
8131421,6,12
8131416,4,22
8131412,6,17
8131409,3,13
8131430,5,13
8131431,6,9
8131432,2,31
8131427,7,20
8131428,3,7
8131429,3,27
8131422,7,11
8143765,3,28
8143766,2,32
8131425,5,28
8143767,6,12
8131433,5,36
8131434,7,38
8131426,5,27
8131424,5,10
8131423,2,19
8131436,4,15
8131435,3,32
8131400,2,10
8131404,3,16
8131402,2,37
8131397,3,31
8143763,6,34
8143764,4,22
8131401,4,26
8131407,6,8
8131403,3,22
8131399,7,38
8131398,2,28
8129343,7,31
8129341,4,35
8129264,6,6
8129342,3,23
8129344,3,14
8033311,5,36
8136851,5,35
8136852,3,39
8126905,4,8
8126906,3,25
8126903,3,37
8126904,4,10
8129380,5,12
8129381,6,15
8129382,7,38
8129263,2,15
8129379,7,16
8129378,6,37
8129266,5,33
8129265,3,9
8038728,3,35
8134919,7,7
8134918,5,21
8128516,5,14
8128515,4,33
8133294,3,33
8006954,3,14
8031839,6,14
8006955,3,38
6301457,3,28
8023426,6,29
8023427,4,21
8021367,4,37
8021368,7,18
8034947,2,14
8121537,5,17
8034948,5,5
8013023,6,37
8013024,7,10
8014921,6,23
8014922,2,14
8010837,6,25
8137310,7,5
8137247,7,33
8116391,2,35
8116392,3,18
8127024,2,13
8127023,7,22
8137293,6,14
8137292,3,37
8008441,2,37
8027015,2,20
8038520,7,23
8038519,6,31
8138484,2,14
8138485,3,27
8030072,7,15
8030073,3,26
8026618,7,37
8141721,5,6
8141720,7,37
8128403,5,14
8128404,5,12
8131286,5,18
8131287,7,40
8136416,7,7
8136415,7,7
8137263,6,10
8137288,4,18
8137260,5,24
8137261,7,13
8137282,7,27
8137285,5,40
8139249,4,28
8137284,2,11
8137280,3,6
8137281,4,18
8137286,7,29
8139248,5,22
8137262,4,23
8137257,6,19
8137259,4,25
8139247,4,29
8139246,2,28
8137289,3,34
8137287,4,11
8137197,2,27
8137198,6,7
8021952,7,10
8021500,5,20
8021499,5,13
8021491,2,32
8142690,3,15
8142691,3,18
8142692,5,35
8142693,4,11
8142688,3,23
8142689,4,38
8015505,6,36
8117307,7,19
8117296,7,23
8015507,6,13
8117301,2,5
8015504,3,35
8131018,5,39
8135378,3,5
8135377,3,30
8031136,6,22
8031133,6,26
8031134,4,22
8140764,4,26
8117303,6,31
8135362,2,19
8131014,4,37
8015500,7,16
8113934,4,29
8135363,5,24
8031137,2,14
8135361,6,16
8031135,6,26
8040609,5,35
8140762,3,28
8140763,6,32
8124913,3,7
8124912,7,29
8131012,4,21
8135376,5,37
8135375,6,6
8131013,2,9
8117302,5,11
8036946,3,26
8015495,7,33
8015497,7,34
8015496,2,22
8026184,7,29
8135360,7,15
8036942,6,33
8026183,3,27
8026185,3,37
8140756,4,37
8140757,3,12
8140761,3,34
8040613,2,20
8040610,4,36
8040612,4,31
8040614,2,33
8140758,6,29
8117299,6,40
8015508,2,5
8135373,7,26
8135365,4,32
8135370,2,18
8135369,7,5
8135374,4,30
8135371,2,40
8135366,7,17
8135368,7,14
8135367,5,34
8135372,2,11
8036944,3,39
8036943,4,35
8140754,4,23
8140769,4,11
8121230,2,32
8135379,4,24
8033660,2,10
8033659,4,38
8131007,5,16
8040617,6,9
8040618,6,19
8131005,4,40
8015501,2,20
8117300,3,9
8015502,3,23
8140755,2,27
8036945,5,36
8036948,3,29
8036950,6,8
8131016,6,40
8140767,7,5
8140765,7,10
8140766,7,36
8131011,5,8
8040616,6,32
8015498,7,20
8124910,6,30
8015499,6,18
8124908,6,8
8124907,4,6
8124909,2,33
8131015,3,40
8135359,2,34
8135364,3,16
8036947,5,14
8040615,4,38
8117305,6,31
8117306,5,24
8140760,3,24
8140759,4,7
8140770,2,10
8140768,7,35
8140771,4,20
8140753,3,35
8140752,4,9
8140751,4,40
8015506,2,6
8131017,7,24
8117295,7,20
8135358,6,33
8140439,3,6
8004227,7,31
8127357,2,17
8139573,5,26
8011354,6,38
8004788,6,26
8127354,7,17
11246,5,11
8004791,3,8
8004792,4,33
8004232,6,32
8139577,6,18
8139575,7,18
8120431,4,16
8139576,5,35
11420,2,39
8139572,7,28
8122972,2,20
8129525,7,6
8140150,5,27
8126977,4,6
8140127,3,23
8110455,6,21
5737,4,20
9990897,3,32
9996382,4,7
8135324,6,34
8135325,5,33
8135323,3,5
8135321,5,36
8135322,6,31
8135317,4,33
8135315,2,9
8135316,6,23
8132564,5,17
8135320,5,23
8135319,4,35
8135318,2,39
8139584,6,37
8139582,7,34
8143550,3,16
8139583,4,35
8034207,5,33
8140944,5,6
8140947,2,13
8140945,6,16
8140946,2,35
8141948,6,39
8110842,6,23
8110845,4,28
8110846,7,31
8142221,6,14
8143838,3,33
8110847,6,40
8111372,6,13
8110841,6,32
8110840,4,38
8120573,2,24
8113350,7,16
8113800,4,10
8119235,4,16
8038240,7,39
8139890,3,6
8013079,2,9
8014164,2,38
9931875,6,14
8017120,3,16
8010881,5,37
8013971,6,20
8009385,6,10
8137437,3,32
8133613,3,18
8131551,2,14
8024933,5,27
8037152,6,18
8026125,5,40
8043274,3,24
8016517,6,26
6031106,5,16
8042702,5,16
8137988,5,36
6302177,6,34
8142459,2,34
8142474,2,19
8142475,5,5
8142471,2,39
8142464,6,18
8142466,2,26
8142460,7,6
8142465,6,28
8142467,2,13
8142462,5,39
8142470,3,20
8142463,3,10
8142472,6,16
8024281,5,40
8026638,6,18
8129027,4,37
8129033,7,14
8129035,6,26
8129030,6,37
8026649,2,12
9993437,2,25
9993446,4,14
8043436,6,25
8122212,3,30
8141913,6,27
8115381,5,18
8143417,7,11
8112015,4,40
8122218,5,16
8141912,5,34
8043663,3,8
8142168,7,28
9993734,7,13
8142583,3,27
8043427,5,38
8141859,7,11
8141858,2,38
8141857,5,26
8141856,4,33
8043426,4,9
8131474,3,31
8115835,2,28
8015384,2,32
8141714,3,21
9993976,6,8
8017154,3,36
8122219,2,14
9999296,7,33
8015452,6,6
8043439,7,30
8133096,2,33
8109892,6,33
8031973,5,15
8015453,6,19
8016714,6,31
8140774,3,23
8140775,6,11
8121550,3,27
8121549,5,13
8029428,3,11
8029427,3,7
8029429,2,36
8033599,4,15
8134746,4,37
8134701,5,8
8039662,5,27
8039658,5,27
9994138,3,12
9994369,5,29
9995733,3,20
8026731,4,18
8026730,5,6
1556,6,29
8126441,2,30
8126658,3,15
8126659,3,13
9994139,5,30
8029015,2,11
8025261,5,19
8025262,6,11
8023420,2,14
8023421,7,19
8029016,4,20
8118125,7,35
8023103,7,35
8123257,5,17
8123258,7,7
8137816,4,19
8137817,4,27
8136022,7,6
8136023,4,29
8133156,3,33
8133153,3,38
8133158,5,27
8133157,7,37
8136028,2,24
8136029,3,40
8136030,3,7
8136025,7,15
8136024,7,29
8133159,7,30
8133160,2,36
8133165,6,9
8136031,3,29
8136033,7,5
8136032,7,30
8136034,3,28
8011524,4,11
8023098,6,29
8023097,7,11
8133166,6,37
8136019,4,29
8034400,5,26
8010573,6,7
8010574,4,11
8010572,2,18
8023423,4,19
8023422,2,38
8023424,4,20
8131669,6,14
8010575,6,15
8035072,7,16
8035074,5,21
8035073,7,9
8035075,2,12
8035077,7,28
8035079,5,26
8035076,2,26
8035078,6,17
8022217,3,26
8022221,4,24
8136453,6,11
8022215,3,19
8034929,2,6
8129415,2,17
8022213,2,15
8129418,7,28
8022212,2,35
8136454,6,16
8131214,3,28
8131215,6,23
8131216,4,39
8141224,4,17
8141225,7,21
8141222,6,22
8141223,5,6
8127430,7,35
8122209,3,33
8122210,4,30
8004273,7,13
8009168,5,37
8004275,5,20
8014581,3,14
8033370,3,17
8033375,7,8
8033366,5,28
8033367,5,32
8033369,4,27
8033389,4,22
8033391,4,6
8033390,5,19
8033392,4,21
8035000,3,27
8034999,5,16
8033393,4,24
8034555,4,22
8033394,5,38
8033395,6,5
8035013,7,5
8035007,7,18
8035010,4,39
8035011,7,30
8035001,3,16
8035008,2,6
8035012,3,14
8035006,2,25
8035009,7,11
8033377,2,37
8033371,3,33
8014578,6,22
8033388,7,20
8033376,7,30
8033387,6,6
8033368,6,21
8014586,2,40
8033374,6,13
8033378,6,10
8014587,2,25
8033372,6,12
8014584,7,20
8135654,4,15
8135656,5,36
8135657,6,23
8132727,4,38
8136555,7,22
8134783,6,19
8132729,6,28
8132728,7,16
8134787,5,35
8132730,2,9
8134788,5,16
8132731,6,16
8132734,3,24
8132733,3,8
8132732,2,37
8134782,4,19
8132735,5,8
8132736,3,39
8134791,7,31
8134790,4,30
8134789,7,13
8132718,4,27
8136554,7,23
8132724,5,40
8134779,4,16
8132720,4,36
8132723,7,28
8134778,6,29
8132719,5,40
8132725,2,29
8134780,2,30
8132721,2,7
8132726,7,29
8134781,6,15
8132722,6,9
8142559,2,35
8033726,6,24
8142696,3,12
8041123,3,29
8138004,2,22
8138003,6,31
8033923,4,29
8133980,7,9
8117130,4,19
8117131,4,27
8121336,6,35
8143459,2,25
8143458,6,9
8121333,3,8
8121335,5,12
8029473,5,28
8029476,3,40
8021745,7,20
8117128,6,15
8117129,7,38
8120829,6,16
8139030,2,37
8139029,5,38
8139032,4,40
8111802,7,23
8111801,5,7
8036006,4,36
8036005,7,24
8128770,4,29
8128769,6,22
8123684,4,12
8036002,3,35
8035998,7,19
8003418,7,32
6030962,6,26
8000649,7,17
8112618,3,26
8136192,3,5
8143691,4,34
8112702,7,13
8112725,3,6
8112728,6,21
8112721,5,23
8112724,3,6
8112791,4,29
8112777,5,18
8112780,7,40
8112749,5,9
8112726,6,16
8113369,6,20
8112743,3,38
8112757,2,20
8113385,3,19
8113383,5,37
8112796,7,37
8112795,3,5
8113382,3,9
8112761,5,12
8112733,3,8
8112774,4,33
8113390,5,5
8113388,6,8
8113386,7,19
8113466,2,21
8112778,2,39
8112734,4,14
8112775,6,7
8112751,3,29
8113438,3,35
8112771,5,20
8112798,6,30
8112811,4,27
8113424,5,34
8112815,5,7
8112814,2,25
8113423,5,36
8113418,6,38
8112809,5,37
8112731,6,30
8112742,7,36
8112750,7,22
8112727,7,26
8112801,6,31
8112794,6,18
8112793,6,23
8113396,5,27
8127122,3,19
8112764,3,15
8113361,4,35
8112732,4,14
8113379,3,18
8112730,4,10
8112792,6,7
8127123,3,39
8127133,2,23
8127141,7,25
8112813,6,23
8112802,3,34
8112797,3,20
8127140,4,10
8113463,5,6
8127142,6,9
8112755,7,6
8112781,6,8
8112785,7,26
8112786,3,38
8113461,2,21
8112695,4,38
8113425,6,10
8113427,7,18
8112741,6,22
8127148,2,18
8112766,4,11
8112767,3,24
8127157,3,36
8127160,5,26
8127155,2,17
8112804,6,6
8112807,4,31
8112805,7,29
8127163,4,31
8127161,2,8
8112808,2,25
8112806,2,38
8113435,3,15
8113434,6,25
8113381,4,6
8112799,7,36
8112710,4,40
8112709,2,38
8112708,2,29
8112707,2,37
8112752,7,20
8112745,5,12
8112698,5,15
8113358,6,17
8112810,4,30
8113417,2,11
8113415,3,30
8112800,5,32
8127152,4,34
8112759,3,28
8127153,7,5
8127150,7,30
8112747,6,29
8127143,3,8
8127139,4,37
8127146,5,39
8112729,3,30
8113900,2,5
8127144,6,5
8127151,2,16
8112779,2,9
8113906,7,15
8112782,7,5
8112712,3,30
8113394,2,13
8113359,7,24
8112719,3,31
8112754,3,23
8112720,3,12
8112715,7,24
8112718,4,25
8130456,7,13
8130457,6,24
8130458,7,18
8130459,2,35
8130460,3,31
8130461,7,16
8121704,5,17
8121211,7,28
8129532,2,13
8117049,3,18
8134088,3,12
8134740,4,34
8132400,2,18
8133716,7,16
8133733,7,13
8136862,4,10
8121210,3,34
8039856,5,18
8039857,6,8
8039858,3,20
6297900,6,30
8024477,7,23
8136337,6,14
8020423,3,15
8018796,4,37
8018794,2,10
8018793,4,30
8018795,6,6
8136335,3,6
8024480,6,10
8136336,3,32
8015396,5,36
6302178,7,11
8015408,6,30
8002160,5,38
8015409,5,40
8024478,7,26
6255500,6,12
6300207,6,38
8015401,7,20
8015400,3,27
8120063,7,31
8116903,4,23
6209507,4,10
6220492,6,6
8116902,6,39
8141668,5,25
8139835,4,38
8121668,2,35
8031892,4,36
8031891,3,13
8024479,6,22
8015392,2,13
8024433,5,37
6230801,6,28
8015399,4,17
8015398,2,17
8132103,3,21
8126883,6,15
8128034,4,36
8132210,4,5
8123297,6,15
8132209,4,22
8123295,6,40
8129535,7,11
8140117,3,40
8140154,6,29
8126975,3,33
8134081,4,17
8034545,5,40
6310102,3,26
6310103,3,7
8024354,2,38
8024355,3,25
8038754,4,31
8131308,3,11
8118306,6,40
8131295,2,22
8114814,4,37
8114815,6,31
8114812,6,32
8131310,7,31
8138487,7,19
8138486,2,12
8137718,3,37
8137887,3,29
8137890,6,5
8137889,6,28
8137888,5,19
8137891,4,22
8137719,2,8
8137910,4,29
8137944,2,13
8141252,3,32
8141251,5,34
8141253,6,16
8141254,4,39
8142305,5,33
8137911,7,26
8143970,7,10
8132481,2,5
8132483,6,37
8135214,2,30
8135276,4,27
8113395,7,33
8141698,2,23
8118163,5,33
8129568,4,16
8136818,5,27
8135193,6,40
8134055,5,28
8137150,2,29
8140707,7,15
8140706,5,21
8134301,3,33
8143585,2,28
8131742,2,34
8127112,3,40
8135153,4,34
8130938,3,20
8141697,5,18
8141701,7,8
8131746,5,30
8134302,3,33
8137498,6,25
8137007,7,31
8140715,5,14
8127113,7,23
8130939,3,38
8138976,3,34
8141699,5,21
8113397,6,24
8034854,7,11
8124991,5,17
8135139,6,25
8140314,5,35
8135127,6,36
8140312,6,20
8135142,6,6
8135130,7,28
8135136,3,39
8140319,5,40
8135137,3,38
8135132,4,26
8135135,5,23
8135133,2,9
8135134,5,8
8141389,6,13
8141383,6,11
8141384,2,14
8141382,6,11
8141388,7,13
8141380,5,15
8141394,3,24
8141395,7,36
8141393,6,10
8141386,3,34
8141379,6,15
8141391,4,9
8141392,6,30
8141378,6,16
8141387,4,18
8143047,7,36
8143057,4,38
8143056,5,13
8143058,5,13
8143059,3,28
8143061,5,18
8143060,4,23
8143063,6,7
8143064,6,32
8143065,3,26
8143062,7,13
9990415,4,10
9990414,2,9
8128358,7,11
8034109,6,5
8020898,4,10
8001194,4,14
8001195,3,32
6030339,5,17
8120592,4,12
8120593,6,7
8120597,5,22
8120591,5,9
8120595,5,33
8120596,6,39
8120599,5,30
8120594,2,33
8120598,7,16
8035082,4,34
8035054,7,22
8036927,2,9
8036929,4,8
8007401,3,23
6535991,7,12
6530688,2,20
8024412,2,19
6033998,6,32
6300421,7,31
6033977,3,39
8022194,7,10
8019532,4,32
8011531,3,27
6033970,3,30
8037812,2,12
6301167,4,31
8026925,5,17
8031969,4,17
8140747,4,13
8035673,2,23
6030332,7,5
8017174,2,7
8140745,3,26
8128359,2,16
9999686,2,13
8039775,5,13
8016217,3,31
8142595,2,25
8019529,3,11
8012483,2,30
8140749,3,39
8001092,5,10
8035705,3,6
6030341,6,33
8024507,6,28
8024486,2,31
8024487,6,25
8024488,4,9
8024489,2,11
8024490,4,11
8128370,5,22
8024491,4,30
8024492,4,40
8024494,7,21
8024495,4,34
8128371,4,27
8024496,7,18
8024497,5,5
8027642,6,14
8024498,4,28
8024499,2,35
8024500,4,25
8128372,2,40
8024501,4,16
8027644,6,25
8024502,4,35
8024503,2,27
8024504,5,37
8027645,4,16
8024505,2,27
8024506,2,18
6530615,7,21
6530616,5,29
6530640,5,34
6530614,3,13
8130588,3,24
8130590,4,33
8130591,2,29
8010825,3,18
6530617,5,10
6530619,7,33
6530620,3,31
6530621,4,10
6530611,5,8
8010826,5,29
6301405,4,20
6530623,6,22
6530622,5,21
6530624,2,36
6530625,2,29
6530626,6,22
6301404,6,20
6530627,6,36
6530628,7,32
6310152,2,31
6530629,5,24
6530630,4,9
6530631,6,7
6301406,7,25
6530613,5,12
6530633,6,34
6310160,3,29
6530634,4,11
6530635,3,29
6530636,2,11
6530760,4,8
6310151,3,8
6530637,6,34
6530638,5,29
6530639,3,40
8122450,6,30
8122451,2,22
8122452,5,15
8122449,3,34
8037813,5,15
8127469,2,20
8127464,7,11
8143733,6,12
8143735,5,36
8143734,6,37
8034841,5,18
8134093,7,39
8134283,3,6
8012479,4,40
8021391,4,16
8007701,3,19
8014890,4,17
8137396,2,26
8128368,2,14
6309986,7,22
8030928,3,37
8134280,7,11
8022195,2,35
8128365,5,36
8128367,6,8
8128362,6,24
8128364,2,8
8128366,7,7
8128363,2,25
8018415,3,33
8018416,2,16
8018417,4,12
8018418,7,7
8018420,4,23
8018421,2,37
8018422,7,5
8018423,5,14
8018424,6,11
8018425,6,28
8018427,6,16
8018428,5,16
8018451,5,15
8018452,3,39
8018453,5,7
8018454,6,17
8018455,2,27
8018456,4,11
8018457,3,20
8018458,4,34
8123371,7,10
8125155,7,30
8122447,6,13
8123368,6,21
8123373,2,34
8123375,3,32
8123873,5,32
8123369,3,32
8125156,5,27
8122464,6,37
8128360,4,5
8125157,7,15
8123377,4,32
8128369,4,29
8122446,4,23
8123370,7,6
8134092,7,32
6309989,6,36
6309991,5,38
6309988,5,23
6309990,3,32
8035698,4,14
6030326,3,34
8123372,5,30
8035687,2,26
6030325,6,20
8016219,2,15
8127335,4,13
8026959,4,21
6030338,5,24
6030337,3,6
8121605,7,28
8121604,3,31
8121606,2,13
8125158,3,32
8140750,4,8
8010320,5,22
8037363,3,15
6309999,7,26
8035053,6,23
8035678,5,8
6033987,5,11
8026284,5,37
6030330,7,6
8024166,4,23
6033989,6,19
8018293,2,20
6033991,5,27
6033993,3,10
8035083,7,17
8036926,5,23
8036928,2,34
8013345,2,8
6535989,4,6
6530689,6,33
8031644,5,34
6033997,2,12
6300422,3,38
8036267,2,13
8123374,5,35
8123872,2,25
6309998,6,33
9999453,4,30
6033976,5,34
8014103,7,32
8022193,6,29
6030049,7,8
8019531,6,32
6033969,6,21
8036930,7,18
8037811,2,37
6301166,6,27
6300146,4,28
8031968,2,38
8140746,2,11
6301165,7,20
6530690,2,39
8035695,4,10
6033996,4,17
8140744,5,40
8128361,7,32
9999685,4,36
8020897,7,23
8021390,5,35
8007457,7,13
6535990,7,17
8039774,7,29
8123376,3,14
8034108,6,7
8016216,5,39
8026599,6,12
8012482,5,17
8140748,4,27
8001091,4,23
8134091,3,35
8134090,3,6
8017171,4,24
8008159,2,31
8122448,3,23
8017170,3,37
8120178,6,32
8120177,2,10
8119412,3,9
8113987,2,39
8113988,7,11
8113984,4,6
8113986,3,7
8033357,6,26
8119411,2,20
8033355,6,16
8033356,2,28
8119408,4,9
8119407,7,26
8119406,2,11
8133098,4,7
8018498,4,12
8018499,5,29
8018497,2,22
8143367,3,32
8143361,2,32
8143352,6,13
8143362,4,23
