product_id,current_stock,min_stock,max_stock,reorder_point
8119173,235,8,214,80
8119169,16,15,237,93
8125469,159,6,143,54
8119158,98,36,264,116
8126574,146,25,106,53
8125767,79,10,191,73
8122071,209,14,199,79
8139850,39,31,158,75
8125726,261,7,242,89
8123005,8,37,196,93
8132963,121,32,174,82
8132962,247,8,246,91
8131668,86,11,165,65
8131667,35,27,157,73
8119178,106,37,227,104
8119175,137,19,201,83
8119176,124,6,220,81
8143076,246,17,250,99
8139642,243,32,259,111
8117580,99,18,125,55
8139848,42,11,126,51
8121215,108,10,155,61
8117583,151,12,158,63
8141054,173,9,134,53
8143077,69,7,193,72
8143428,96,35,223,101
8131411,149,16,168,69
8131417,179,23,140,64
8131410,193,21,186,79
8125375,116,32,136,68
8117567,107,16,161,67
8040341,200,5,229,83
8033185,252,29,215,94
8117569,55,26,252,105
8117571,20,22,144,65
4268,110,23,219,92
9990984,106,37,100,59
8128066,85,29,100,54
8129708,45,6,162,61
8129710,262,20,224,91
8135204,99,21,91,46
8130740,165,9,187,71
8129718,143,22,246,100
8128070,91,24,124,59
8128071,179,14,145,60
8129719,200,11,170,67
8128068,194,8,228,85
8128067,78,16,233,92
8130737,116,39,274,121
8128065,164,17,185,76
8130742,122,34,284,122
8130744,52,8,125,49
8128063,36,26,197,86
8130729,54,34,136,70
8130731,102,33,137,69
6310019,21,30,144,70
8128818,38,10,72,32
8128817,46,27,154,71
8135201,194,8,229,85
8128820,143,9,244,91
8135202,197,32,159,76
8128819,9,27,95,51
8130734,17,39,150,78
6310023,111,24,139,64
6310020,45,37,181,87
8130735,98,28,130,64
8128060,82,30,277,116
8130732,64,34,149,74
8129714,147,35,121,65
8128062,48,29,116,59
8130736,97,6,158,59
8130730,250,29,250,106
8128061,166,38,129,70
8129721,289,12,256,97
8128064,31,27,157,73
6310021,42,18,143,62
6310022,274,31,266,113
8129711,53,25,273,112
6310018,109,18,251,100
8130733,101,13,231,89
8129717,34,37,121,66
6310024,169,40,202,97
8131467,64,13,211,82
8131470,145,28,106,55
8131471,82,14,119,51
9994883,192,38,173,85
8043483,65,33,140,70
8141915,88,37,152,77
8043658,24,18,256,101
8043479,100,18,244,97
8131472,131,6,121,46
8043478,110,5,195,72
8038567,3,35,136,70
8043420,19,10,76,33
8141860,102,8,122,48
8043480,228,29,254,108
8043482,151,16,242,95
8135878,31,37,178,86
8135881,163,15,137,58
8139959,123,32,111,60
8139958,44,6,68,28
8139961,125,13,207,81
8139960,291,22,262,106
8139962,167,6,201,74
8135876,205,29,180,82
8135883,226,11,256,97
8135882,132,13,149,61
8135884,63,30,148,71
8141638,120,28,274,114
8141639,137,27,122,60
8024375,13,22,168,73
8024376,55,22,117,55
8132635,268,24,253,104
8031310,104,37,118,65
8115722,49,6,221,81
8039474,49,12,208,81
8039477,173,38,242,109
8039476,43,23,175,76
8131317,99,19,267,106
8018369,61,13,126,53
8122322,8,28,238,102
8110940,222,26,265,110
8131289,121,19,221,90
8131291,3,20,133,60
8131292,172,34,254,111
8118282,8,39,267,119
8118283,123,36,238,107
8141347,24,30,255,109
8141346,180,7,187,70
8141345,104,38,139,73
8136100,42,6,112,43
8136054,92,6,222,82
8136053,111,19,219,89
8136046,8,28,176,80
8136051,134,11,107,45
8136049,142,5,132,49
8133087,124,6,188,70
8133086,163,9,169,65
8134607,149,21,195,82
8134606,264,15,232,91
6309864,178,30,149,72
8139935,146,10,123,50
8139933,36,26,207,89
8139934,26,8,221,83
8023033,19,31,273,116
8023035,177,13,193,76
8023034,55,10,119,48
8021735,192,23,247,101
8134609,208,8,184,70
8139519,202,29,222,97
8139518,148,40,246,112
8139517,9,5,146,54
8134608,121,21,127,58
8020142,86,36,266,117
8021415,162,20,230,94
8020141,13,15,164,67
8020140,194,18,204,83
8020139,70,29,133,65
8139589,104,21,233,95
8139586,241,15,251,98
8139588,38,14,92,41
8139587,90,6,207,76
8139590,16,11,81,36
8139592,93,13,256,98
8139591,46,36,111,62
8005617,112,32,277,118
8138483,215,19,244,98
8013721,31,11,209,80
8115723,272,27,274,113
8125431,187,29,225,98
8015970,14,33,176,83
8141962,149,36,113,63
8141193,41,10,131,52
8141196,10,13,229,89
8141194,53,16,154,64
8141192,140,34,102,58
8141195,154,31,162,77
8141191,54,31,194,88
8141686,20,23,83,44
8143693,14,37,175,85
8141684,67,33,152,75
8143695,163,10,136,54
8141688,66,10,117,47
8141685,143,8,160,61
8141690,131,7,107,42
8143694,7,15,118,51
8143692,51,13,178,71
8141683,58,39,157,80
8139594,102,5,231,84
8140780,310,35,282,121
8137162,29,27,179,80
8139595,106,8,71,30
8139596,74,20,209,86
8140778,32,15,100,45
8137163,241,8,252,93
8140777,268,32,233,102
8137161,30,14,204,81
8139597,35,24,184,80
8140781,266,22,245,100
8140776,229,23,234,97
8137160,143,14,166,67
8140779,187,39,156,80
8042649,44,7,75,31
8132750,79,9,116,46
8132744,257,18,221,89
8110783,79,15,91,42
8010099,205,11,208,80
8140852,88,12,110,46
8140851,224,10,240,91
8140850,38,15,150,62
8140841,61,33,191,88
8140849,15,15,140,59
8140842,89,27,98,52
8140839,26,29,154,73
8140845,151,32,254,110
8140829,260,15,238,93
8140838,84,30,109,58
8140837,34,6,84,33
8140836,8,11,91,39
8140835,214,26,176,79
8140833,16,38,236,107
8140834,65,34,95,55
8140848,102,5,110,42
8140846,147,38,146,76
8042827,126,37,168,83
8117390,227,21,187,79
8117392,154,35,171,83
8117393,127,27,160,74
8025922,121,6,185,69
8025913,184,13,160,64
8025914,166,10,202,77
8025944,169,28,170,78
8025945,143,39,115,66
8025946,204,9,192,73
8115410,34,22,260,105
8025947,205,40,249,113
8034949,26,32,150,73
8039700,31,27,106,55
8115409,191,24,230,96
8025915,30,27,117,59
8025918,189,19,261,104
8025920,141,9,143,56
8025921,76,7,149,57
8117357,148,6,206,76
8029040,24,20,133,60
8025924,81,5,183,67
8025925,282,33,242,106
8039698,74,10,102,42
8122910,218,15,213,84
8025927,37,32,98,55
8025930,4,34,146,73
8029041,72,22,243,99
8025931,118,18,170,71
8025932,94,11,107,45
8039699,62,25,240,100
8122911,100,10,119,48
8037774,100,32,93,53
8025933,151,28,163,75
8025934,104,27,93,50
8117358,100,11,175,68
8029042,128,19,118,54
8025935,89,7,238,88
8025936,68,5,143,53
8037775,12,40,227,105
8025937,98,15,127,54
8134805,194,32,203,92
8025938,203,20,241,97
8025940,230,34,246,108
8037776,145,19,199,82
8025942,54,34,110,61
8134806,171,26,178,79
8025948,126,24,108,53
8035938,178,13,215,84
8035939,36,20,100,48
8035940,95,18,114,52
8035941,27,10,189,73
8035942,83,27,162,74
8124985,156,40,175,87
8124984,66,7,158,60
8035944,135,30,266,113
8035945,120,17,224,89
8035948,80,26,93,49
8124983,131,33,221,99
8035949,92,6,191,71
8124097,109,24,198,85
8035950,67,27,207,90
8035951,158,6,144,54
8035952,29,38,280,123
8035953,15,28,211,92
8035954,24,5,91,35
8035955,58,7,107,42
8035956,21,11,120,49
8035957,113,16,186,76
8035958,57,23,172,75
8035959,137,27,115,58
8124098,53,36,196,92
8035960,15,6,98,38
8111430,88,15,180,73
8025952,65,9,112,45
8136673,46,31,261,112
8136674,185,25,193,84
8136676,249,25,229,96
8136678,155,24,117,57
8136685,53,14,132,55
8136680,75,5,95,37
8136684,69,7,69,29
8136682,40,13,233,90
8136683,110,13,195,77
8136686,33,19,183,76
8137585,36,26,122,60
8137589,181,15,222,87
8137587,99,9,244,91
8137536,114,6,99,39
8137549,89,28,213,93
8137550,17,10,168,65
8142451,23,20,143,63
6310590,149,39,137,73
8039645,195,9,173,66
8126466,120,40,195,94
8137537,187,32,209,94
8126063,17,19,86,42
8137555,213,31,225,99
8137556,20,17,210,85
8119388,2,20,256,103
6310595,136,21,262,105
8137544,76,6,218,80
8129210,134,29,120,61
8137539,15,28,255,107
8137547,65,38,110,63
8137552,183,29,200,89
8137553,271,39,237,108
8137554,72,6,199,74
8114314,31,29,226,98
8033610,2,14,180,72
8033611,197,16,225,89
8033612,150,26,225,96
8140935,17,24,127,60
8140936,80,25,106,53
8140933,142,19,134,59
8140934,41,28,97,52
8140937,9,12,77,35
8140938,186,31,173,81
8029397,137,30,214,94
8140942,228,20,190,80
8029396,168,18,137,60
8119719,98,38,173,85
8140941,3,9,83,35
8137593,160,25,217,92
8137596,297,31,260,111
8137591,108,19,196,81
8137594,59,31,220,97
8137592,69,21,88,44
8137595,110,37,198,93
8137590,251,22,248,101
8039651,150,33,114,61
8039649,137,37,112,63
8039653,79,36,152,77
8039654,44,27,106,55
8039652,132,15,109,48
8039650,125,25,96,50
8137580,158,24,272,111
8137581,69,25,162,73
8137582,19,38,217,101
8137583,237,35,250,110
8140931,180,20,223,91
8140932,139,40,174,87
8137572,243,39,268,119
8137573,158,14,174,70
8137569,121,38,192,92
8137570,82,20,127,57
8137597,168,36,165,81
8137598,252,16,239,94
8137575,144,39,148,77
8137577,177,22,145,65
8137574,248,28,255,107
8137576,224,36,208,96
8040307,120,24,108,53
8116613,104,15,177,72
8029412,263,15,238,93
8029411,58,12,221,85
8029413,18,15,148,62
8007977,138,12,174,69
8029414,24,20,165,71
8007978,4,18,102,47
8140928,144,23,223,93
8140929,234,35,247,109
8137579,50,20,85,43
8031442,24,5,138,52
8137578,45,10,239,90
8031443,165,24,144,66
8141947,94,11,139,56
8141946,143,14,124,53
8141945,163,11,213,82
8141944,1,25,163,73
8035107,46,5,74,29
8032487,140,24,261,107
8007980,82,20,95,46
8036932,82,13,88,39
8029402,93,39,240,109
8029398,131,37,130,70
8029399,30,36,217,99
8038375,115,27,171,77
8029400,82,34,267,116
8113612,66,5,117,44
8029401,145,37,141,73
8007981,27,30,271,114
8007979,60,13,213,83
8133991,114,11,141,57
8142672,41,19,150,65
8125921,59,13,200,78
8142673,131,18,248,99
8137560,257,18,249,99
8137564,194,40,219,103
8126065,192,30,164,77
8126070,119,15,252,98
8125919,252,7,226,84
8132858,53,6,108,42
8125920,104,22,89,45
8137557,107,32,207,93
8137561,157,11,146,58
8137558,280,7,257,95
8029417,94,37,193,92
8137563,20,38,108,63
8125923,0,19,99,47
8125922,104,32,202,92
8137565,168,7,186,70
8137566,131,35,248,110
8137568,142,33,134,68
8137567,136,27,173,78
8037815,18,8,69,29
8039648,2,7,257,95
8037318,189,23,218,91
8037314,4,11,209,80
8037319,164,6,130,49
8037315,117,5,96,37
8037320,115,24,217,92
8037316,79,26,121,59
8140930,115,38,229,105
8140939,125,25,111,55
8140940,118,36,200,93
8137584,41,24,137,64
8137588,89,23,199,85
8137586,68,12,76,34
8141941,8,5,232,84
8141943,77,38,98,59
8141940,193,14,229,89
8141942,53,15,153,63
8109763,132,9,189,72
8037322,118,24,86,46
8037323,20,5,202,74
8029407,191,21,254,103
8029403,109,8,143,55
8041520,163,10,250,94
8041519,110,10,78,34
8007985,60,36,266,117
8008157,145,36,148,75
8029404,178,19,234,94
8023704,92,13,241,93
8021646,78,25,164,74
8021707,87,38,224,103
8034204,241,23,204,86
8034205,82,17,140,60
8034206,121,27,191,84
8120824,21,14,138,57
8120843,94,28,271,113
8017146,41,17,218,87
8003112,3,18,78,39
8115650,222,28,224,97
8137997,38,18,121,54
8117125,73,40,203,97
8117126,13,32,103,57
8116809,146,33,255,111
8127300,183,12,203,79
8116497,129,35,208,96
8135826,142,15,219,86
8135813,77,9,96,39
8135814,17,40,139,75
8141159,144,26,213,91
8131413,122,31,147,72
8131420,132,36,190,90
8131408,309,19,269,107
8143768,153,11,181,71
8143770,100,5,188,69
8143769,103,36,127,68
8131415,162,39,285,125
8131421,125,12,87,38
8131416,215,22,179,77
8131412,145,17,110,50
8131409,215,13,183,73
8131430,25,13,118,50
8131431,94,9,250,93
8131432,26,31,143,70
8131427,165,20,144,63
8131428,62,7,71,29
8131429,21,27,205,89
8131422,21,11,111,46
8143765,169,28,250,106
8143766,160,32,221,98
8131425,160,28,264,111
8143767,54,12,226,87
8131433,211,36,172,84
8131434,26,38,136,72
8131426,154,27,232,99
8131424,95,10,93,39
8131423,19,19,80,40
8131436,45,15,248,97
8131435,67,32,123,64
8131400,204,10,251,94
8131404,136,16,147,62
8131402,85,37,191,91
8131397,243,31,223,98
8143763,86,34,99,57
8143764,66,22,133,61
8131401,37,26,233,98
8131407,177,8,139,54
8131403,189,22,234,96
8131399,83,38,193,92
8131398,172,28,167,77
8129343,133,31,103,56
8129341,117,35,152,76
8129264,62,6,143,54
8129342,162,23,260,106
8129344,87,14,93,42
8033311,100,36,154,77
8136851,55,35,126,67
8136852,167,39,198,95
8126905,8,8,222,83
8126906,16,25,115,57
8126903,262,37,270,119
8126904,159,10,225,85
8129380,71,12,83,37
8129381,29,15,81,38
8129382,149,38,238,108
8129263,79,15,76,36
8129379,62,16,223,88
8129378,27,37,154,78
8129266,133,33,119,63
8129265,36,9,208,79
8038728,57,35,269,117
8134919,160,7,161,61
8134918,141,21,210,87
8128516,117,14,205,81
8128515,161,33,187,87
8133294,79,33,125,65
8006954,118,14,89,40
8031839,31,14,190,76
8006955,157,38,159,80
6301457,217,28,244,104
8023426,56,29,144,69
8023427,80,21,134,61
8021367,59,37,189,90
8021368,138,18,212,86
8034947,105,14,173,70
8121537,71,17,156,66
8034948,67,5,205,75
8013023,50,37,119,66
8013024,192,10,162,63
8014921,159,23,244,100
8014922,243,14,207,82
8010837,69,25,100,51
8137310,76,5,93,36
8137247,266,33,260,112
8116391,52,35,147,74
8116392,66,18,148,64
8127024,107,13,85,38
8127023,234,22,245,100
8137293,16,14,165,67
8137292,63,37,107,62
8008441,135,37,275,120
8027015,51,20,228,93
8038520,71,23,210,88
8038519,259,31,220,97
8138484,3,14,182,73
8138485,176,27,156,72
8030072,107,15,94,43
8030073,103,26,181,80
8026618,82,37,126,68
8141721,141,6,128,49
8141720,109,37,152,77
8128403,1,14,167,68
8128404,40,12,231,89
8131286,226,18,197,81
8131287,187,40,178,88
8136416,7,7,194,72
8136415,151,7,205,76
8137263,3,10,136,54
8137288,155,18,264,104
8137260,217,24,198,85
8137261,0,13,83,38
8137282,70,27,239,101
8137285,21,40,150,79
8139249,93,28,98,53
8137284,110,11,249,94
8137280,253,6,244,89
8137281,167,18,129,57
8137286,52,29,146,70
8139248,107,22,148,66
8137262,88,23,170,74
8137257,163,19,134,59
8137259,52,25,273,112
8139247,182,29,192,86
8139246,29,28,246,104
8137289,64,34,116,63
8137287,28,11,169,66
8137197,147,27,229,98
8137198,120,7,126,49
8021952,10,10,98,41
8021500,50,20,112,52
8021499,61,13,261,100
8021491,200,32,203,92
8142690,127,15,121,52
8142691,202,18,186,77
8142692,95,35,173,83
8142693,122,11,218,83
8142688,90,23,83,44
8142689,189,38,264,117
8015505,68,36,112,63
8117307,92,19,172,73
8117296,15,23,156,70
8015507,73,13,77,35
8117301,89,5,139,52
8015504,116,35,102,58
8131018,43,39,163,82
8135378,214,5,213,78
8135377,16,30,102,55
8031136,203,22,223,92
8031133,127,26,120,59
8031134,1,22,175,76
8140764,97,26,187,82
8117303,65,31,146,71
8135362,61,19,167,71
8131014,45,37,257,114
8015500,25,16,116,51
8113934,79,29,206,91
8135363,32,24,127,60
8031137,54,14,247,96
8135361,122,16,99,45
8031135,271,26,246,103
8040609,107,35,192,90
8140762,214,28,235,100
8140763,94,32,180,84
8124913,139,7,126,49
8124912,151,29,202,90
8131012,125,21,145,64
8135376,152,37,239,108
8135375,67,6,97,38
8131013,110,9,113,45
8117302,160,11,201,78
8036946,32,26,177,79
8015495,239,33,204,93
8015497,191,34,238,105
8015496,175,22,215,90
8026184,79,29,222,97
8135360,141,15,236,92
8036942,188,33,153,75
8026183,108,27,161,74
8026185,127,37,151,77
8140756,108,37,163,81
8140757,19,12,187,73
8140761,40,34,114,62
8040613,124,20,147,64
8040610,188,36,224,102
8040612,31,31,162,77
8040614,53,33,260,112
8140758,214,29,229,99
8117299,125,40,130,72
8015508,69,5,185,68
8135373,31,26,117,58
8135365,84,32,179,83
8135370,86,18,227,91
8135369,136,5,96,37
8135374,31,30,150,72
8135371,163,40,202,97
8135366,249,17,230,92
8135368,165,14,204,81
8135367,139,34,218,98
8135372,29,11,71,32
8036944,32,39,134,72
8036943,145,35,282,121
8140754,76,23,103,51
8140769,71,11,162,64
8121230,20,32,107,58
8135379,240,24,221,93
8033660,65,10,107,44
8033659,132,38,218,101
8131007,132,16,255,100
8040617,102,9,79,34
8040618,83,19,153,66
8131005,61,40,209,99
8015501,79,20,125,57
8117300,194,9,169,65
8015502,149,23,262,107
8140755,129,27,93,50
8036945,115,36,241,108
8036948,171,29,230,99
8036950,7,8,111,44
8131016,1,40,263,118
8140767,49,5,72,28
8140765,69,10,210,80
8140766,199,36,217,99
8131011,217,8,233,87
8040616,146,32,278,118
8015498,52,20,161,69
8124910,10,30,270,114
8015499,245,18,206,84
8124908,50,8,212,79
8124907,58,6,66,27
8124909,228,33,250,109
8131015,12,40,194,94
8135359,110,34,209,95
8135364,41,16,139,59
8036947,67,14,199,79
8040615,1,38,221,102
8117305,96,31,105,57
8117306,71,24,172,76
8140760,21,24,204,87
8140759,100,7,94,37
8140770,59,10,103,43
8140768,34,35,200,93
8140771,143,20,242,98
8140753,77,35,212,97
8140752,78,9,108,44
8140751,210,40,205,98
8015506,62,6,204,75
8131017,121,24,242,100
8117295,9,20,177,75
8135358,159,33,258,112
8140439,30,6,147,55
8004227,189,31,220,97
8127357,43,17,108,49
8139573,77,26,178,79
8011354,179,38,228,105
8004788,43,26,164,74
8127354,131,17,234,93
11246,68,11,130,53
8004791,99,8,162,62
8004792,149,33,126,66
8004232,86,32,200,91
8139577,113,18,239,95
8139575,52,18,151,65
8120431,29,16,149,63
8139576,226,35,285,123
11420,181,39,185,90
8139572,163,28,274,114
8122972,105,20,137,61
8129525,7,6,136,52
8140150,281,27,260,109
8126977,17,6,218,80
8140127,175,23,262,107
8110455,94,21,167,72
5737,145,20,143,63
9990897,82,32,163,78
9996382,186,7,245,90
8135324,36,34,189,88
8135325,79,33,127,66
8135323,219,5,214,78
8135321,318,36,282,122
8135322,190,31,266,113
8135317,129,33,217,97
8135315,31,9,134,53
8135316,79,23,103,51
8132564,201,17,200,81
8135320,168,23,260,106
8135319,20,35,131,69
8135318,56,39,208,98
8139584,169,37,205,96
8139582,104,34,175,83
8143550,119,16,97,44
8139583,14,35,217,99
8034207,232,33,204,93
8140944,129,6,110,42
8140947,52,13,231,89
8140945,78,16,266,104
8140946,149,35,268,117
8141948,78,39,198,95
8110842,59,23,183,79
8110845,106,28,179,81
8110846,125,31,95,53
8142221,245,14,206,81
8143838,30,33,251,109
8110847,140,40,290,128
8111372,99,13,121,51
8110841,101,32,119,62
8110840,66,38,104,61
8120573,112,24,177,78
8113350,133,16,106,48
8113800,10,10,139,55
8119235,108,16,241,95
8038240,45,39,102,61
8139890,70,6,77,31
8013079,12,9,93,38
8014164,18,38,154,79
9931875,29,14,202,80
8017120,110,16,145,61
8010881,178,37,152,77
8013971,143,20,180,76
8009385,184,10,172,67
8137437,39,32,161,77
8133613,117,18,92,44
8131551,125,14,196,78
8024933,176,27,185,82
8037152,131,18,172,72
8026125,149,40,187,91
8043274,2,24,165,73
8016517,77,26,142,67
6031106,114,16,96,44
8042702,120,16,142,60
8137988,240,36,205,95
6302177,12,34,110,61
8142459,158,34,261,113
8142474,142,19,104,49
8142475,25,5,204,75
8142471,107,39,156,80
8142464,105,18,147,63
8142466,55,26,114,57
8142460,123,6,178,66
8142465,1,28,202,89
8142467,91,13,171,68
8142462,148,39,247,112
8142470,160,20,182,77
8142463,91,10,239,90
8142472,96,16,160,66
8024281,233,40,241,110
8026638,189,18,262,103
8129027,39,37,131,70
8129033,27,14,126,53
8129035,226,26,260,108
8129030,51,37,97,58
8026649,80,12,209,81
9993437,169,25,172,76
9993446,229,14,229,89
8043436,36,25,95,50
8122212,214,30,231,100
8141913,234,27,201,88
8115381,2,18,156,66
8143417,43,11,109,45
8112015,17,40,246,112
8122218,58,16,235,93
8141912,26,34,162,79
8043663,10,8,139,54
8142168,51,28,181,82
9993734,5,13,204,80
8142583,156,27,121,60
8043427,173,38,217,101
8141859,36,11,170,67
8141858,72,38,174,86
8141857,56,26,158,72
8141856,177,33,248,108
8043426,141,9,163,63
8131474,130,31,166,78
8115835,36,28,95,51
8015384,102,32,192,88
8141714,23,21,117,55
9993976,137,8,144,56
8017154,43,36,149,76
8122219,99,14,112,48
9999296,36,33,101,57
8015452,92,6,69,28
8043439,259,30,272,115
8133096,163,33,185,86
8109892,3,33,171,81
8031973,112,15,83,39
8015453,168,19,137,60
8016714,202,31,248,107
8140774,58,23,88,46
8140775,207,11,236,90
8121550,156,27,159,73
8121549,164,13,233,90
8029428,132,11,106,44
8029427,147,7,226,84
8029429,92,36,195,92
8033599,57,15,111,49
8134746,59,37,184,88
8134701,179,8,237,88
8039662,175,27,228,97
8039658,107,27,252,106
9994138,113,12,144,58
9994369,122,29,132,65
9995733,7,20,99,48
8026731,146,18,107,49
8026730,83,6,67,27
1556,210,29,180,82
8126441,59,30,116,60
8126658,178,15,196,78
8126659,14,13,78,36
9994139,74,30,127,64
8029015,38,11,217,83
8025261,47,19,254,101
8025262,208,11,207,80
8023420,57,14,157,64
8023421,112,19,116,53
8029016,174,20,216,89
8118125,162,35,205,95
8023103,65,35,122,65
8123257,89,17,265,104
8123258,246,7,224,83
8137816,79,19,198,82
8137817,143,27,255,107
8136022,101,6,244,89
8136023,182,29,169,78
8133156,53,33,136,69
8133153,135,38,262,116
8133158,58,27,89,49
8133157,44,37,114,64
8136028,88,24,91,47
8136029,33,40,207,98
8136030,65,7,83,34
8136025,249,15,216,85
8136024,194,29,176,80
8133159,62,30,202,90
8133160,1,36,175,85
8133165,141,9,200,76
8136031,96,29,132,65
8136033,76,5,71,28
8136032,78,30,96,53
8136034,82,28,149,70
8011524,254,11,241,92
8023098,136,29,176,80
8023097,91,11,97,41
8133166,214,37,283,123
8136019,226,29,236,101
8034400,180,26,248,104
8010573,52,7,239,88
8010574,149,11,147,59
8010572,159,18,166,70
8023423,91,19,92,45
8023422,176,38,199,94
8023424,101,20,165,71
8131669,0,14,144,60
8010575,213,15,242,94
8035072,92,16,128,55
8035074,77,21,141,63
8035073,200,9,244,91
8035075,204,12,260,99
8035077,67,28,118,60
8035079,69,26,199,87
8035076,145,26,152,70
8035078,163,17,135,58
8022217,18,26,101,52
8022221,240,24,259,106
8136453,132,11,151,60
8022215,41,19,102,48
8034929,70,6,228,84
8129415,240,17,208,84
8022213,68,15,212,84
8129418,219,28,193,86
8022212,8,35,237,106
8136454,120,16,100,45
8131214,93,28,220,95
8131215,57,23,211,89
8131216,178,39,181,89
8141224,84,17,197,80
8141225,17,21,82,42
8141222,108,22,142,64
8141223,90,6,121,46
8127430,128,35,152,76
8122209,122,33,251,109
8122210,54,30,279,117
8004273,151,13,117,49
8009168,187,37,183,88
8004275,139,20,128,58
8014581,23,14,108,47
8033370,75,17,237,94
8033375,106,8,183,69
8033366,87,28,121,61
8033367,60,32,214,96
8033369,122,27,120,60
8033389,153,22,172,75
8033391,26,6,139,53
8033390,194,19,182,76
8033392,232,21,263,106
8035000,66,27,158,73
8034999,44,16,142,60
8033393,79,24,231,96
8034555,10,22,127,59
8033394,7,38,161,81
8033395,171,5,194,71
8035013,2,5,124,47
8035007,45,18,107,49
8035010,260,39,257,115
8035011,107,30,263,112
8035001,16,16,244,96
8035008,41,6,243,89
8035012,143,14,117,50
8035006,107,25,275,113
8035009,82,11,122,50
8033377,69,37,251,112
8033371,176,33,215,97
8014578,136,22,192,82
8033388,70,20,172,73
8033376,10,30,142,69
8033387,116,6,143,54
8033368,57,21,251,102
8014586,34,40,115,66
8033374,3,13,210,82
8033378,57,10,221,84
8014587,125,25,233,98
8033372,58,12,170,67
8014584,194,20,207,85
8135654,156,15,224,88
8135656,133,36,207,96
8135657,79,23,125,59
8132727,217,38,281,123
8136555,220,22,225,93
8134783,45,19,177,74
8132729,149,28,179,81
8132728,19,16,100,45
8134787,128,35,105,60
8132730,34,9,157,61
8134788,43,16,107,48
8132731,77,16,176,72
8132734,100,24,205,87
8132733,61,8,134,52
8132732,75,37,182,88
8134782,75,19,188,78
8132735,125,8,254,94
8132736,193,39,225,104
8134791,2,31,267,114
8134790,160,30,178,82
8134789,58,13,114,48
8132718,73,27,176,79
8136554,63,23,154,69
8132724,144,40,239,110
8134779,104,16,244,96
8132720,47,36,214,98
8132723,19,28,213,93
8134778,26,29,115,59
8132719,150,40,277,123
8132725,136,29,198,88
8134780,57,30,266,113
8132721,130,7,102,40
8132726,124,29,279,117
8134781,0,15,173,70
8132722,2,9,110,44
8142559,143,35,121,65
8033726,204,24,184,80
8142696,172,12,211,82
8041123,70,29,226,98
8138004,66,22,200,84
8138003,74,31,159,76
8033923,63,29,137,67
8133980,130,9,124,49
8117130,98,19,144,63
8117131,163,27,134,64
8121336,63,35,120,65
8143459,157,25,218,93
8143458,41,9,128,51
8121333,148,8,122,48
8121335,208,12,185,73
8029473,144,28,113,58
8029476,135,40,182,90
8021745,104,20,245,99
8117128,92,15,123,53
8117129,52,38,236,107
8120829,9,16,252,99
8139030,45,37,164,81
8139029,127,38,149,77
8139032,70,40,250,114
8111802,81,23,147,66
8111801,186,7,206,77
8036006,53,36,228,103
8036005,10,24,115,56
8128770,175,29,143,69
8128769,56,22,187,80
8123684,130,12,141,57
8036002,30,35,260,114
8035998,144,19,162,69
8003418,111,32,129,66
6030962,206,26,228,97
8000649,76,17,211,85
8112618,64,26,119,59
8136192,92,5,86,33
8143691,110,34,243,107
8112702,26,13,213,83
8112725,121,6,220,81
